docname,topic,proportion
shorten_highTemp.txt:4688,003,1.0
shorten_highTemp.txt:4723,003,1.0
shorten_highTemp.txt:4758,002,1.0
shorten_highTemp.txt:4793,001,1.0
shorten_highTemp.txt:4828,002,1.0
shorten_highTemp.txt:4863,003,1.0
shorten_highTemp.txt:4898,001,1.0
shorten_highTemp.txt:4933,002,1.0
shorten_highTemp.txt:4968,002,1.0
shorten_highTemp.txt:34,003,1.0
shorten_highTemp.txt:69,002,1.0
shorten_highTemp.txt:104,009,1.0
shorten_highTemp.txt:139,002,1.0
shorten_highTemp.txt:174,003,1.0
shorten_highTemp.txt:209,012,1.0
shorten_highTemp.txt:244,000,1.0
shorten_highTemp.txt:279,003,1.0
shorten_highTemp.txt:314,001,1.0
shorten_highTemp.txt:349,003,1.0
shorten_highTemp.txt:384,003,1.0
shorten_highTemp.txt:419,000,1.0
shorten_highTemp.txt:454,002,1.0
shorten_highTemp.txt:489,002,1.0
shorten_highTemp.txt:524,000,0.613196
shorten_highTemp.txt:524,001,0.386804
shorten_highTemp.txt:559,012,1.0
shorten_highTemp.txt:594,000,1.0
shorten_highTemp.txt:629,002,1.0
shorten_highTemp.txt:664,003,1.0
shorten_highTemp.txt:699,012,1.0
shorten_highTemp.txt:734,002,1.0
shorten_highTemp.txt:769,006,1.0
shorten_highTemp.txt:804,000,1.0
shorten_highTemp.txt:839,000,1.0
shorten_highTemp.txt:874,005,1.0
shorten_highTemp.txt:909,003,1.0
shorten_highTemp.txt:944,003,1.0
shorten_highTemp.txt:979,003,1.0
shorten_highTemp.txt:1014,003,1.0
shorten_highTemp.txt:1049,000,1.0
shorten_highTemp.txt:1084,003,1.0
shorten_highTemp.txt:1119,006,1.0
shorten_highTemp.txt:1154,003,1.0
shorten_highTemp.txt:1189,007,1.0
shorten_highTemp.txt:1224,000,1.0
shorten_highTemp.txt:1259,000,1.0
shorten_highTemp.txt:1294,003,1.0
shorten_highTemp.txt:1329,012,1.0
shorten_highTemp.txt:1364,001,1.0
shorten_highTemp.txt:1399,002,1.0
shorten_highTemp.txt:1434,007,1.0
shorten_highTemp.txt:1469,000,1.0
shorten_highTemp.txt:1504,000,1.0
shorten_highTemp.txt:1539,000,1.0
shorten_highTemp.txt:1574,011,1.0
shorten_highTemp.txt:1609,003,1.0
shorten_highTemp.txt:1644,001,1.0
shorten_highTemp.txt:1679,006,1.0
shorten_highTemp.txt:1714,000,1.0
shorten_highTemp.txt:1749,001,1.0
shorten_highTemp.txt:1784,002,1.0
shorten_highTemp.txt:1819,001,1.0
shorten_highTemp.txt:1854,001,1.0
shorten_highTemp.txt:1889,001,1.0
shorten_highTemp.txt:1924,000,1.0
shorten_highTemp.txt:1959,008,1.0
shorten_highTemp.txt:1994,002,1.0
shorten_highTemp.txt:2029,001,1.0
shorten_highTemp.txt:2064,000,1.0
shorten_highTemp.txt:2099,000,1.0
shorten_highTemp.txt:2134,002,1.0
shorten_highTemp.txt:2169,007,1.0
shorten_highTemp.txt:2204,004,1.0
shorten_highTemp.txt:2239,000,1.0
shorten_highTemp.txt:2274,001,1.0
shorten_highTemp.txt:2309,003,1.0
shorten_highTemp.txt:2344,000,1.0
shorten_highTemp.txt:2379,001,1.0
shorten_highTemp.txt:2414,000,1.0
shorten_highTemp.txt:2449,003,1.0
shorten_highTemp.txt:2484,003,1.0
shorten_highTemp.txt:2503,004,1.0
shorten_highTemp.txt:2538,000,1.0
shorten_highTemp.txt:2573,000,1.0
shorten_highTemp.txt:2608,000,1.0
shorten_highTemp.txt:2643,001,1.0
shorten_highTemp.txt:2678,002,1.0
shorten_highTemp.txt:2713,002,1.0
shorten_highTemp.txt:2748,003,1.0
shorten_highTemp.txt:2783,012,1.0
shorten_highTemp.txt:2818,002,1.0
shorten_highTemp.txt:2853,001,1.0
shorten_highTemp.txt:2888,001,1.0
shorten_highTemp.txt:2923,007,1.0
shorten_highTemp.txt:2958,007,1.0
shorten_highTemp.txt:2993,000,1.0
shorten_highTemp.txt:3028,005,1.0
shorten_highTemp.txt:3063,001,1.0
shorten_highTemp.txt:3098,009,1.0
shorten_highTemp.txt:3133,001,1.0
shorten_highTemp.txt:3168,003,1.0
shorten_highTemp.txt:3203,003,1.0
shorten_highTemp.txt:3238,002,1.0
shorten_highTemp.txt:3273,007,1.0
shorten_highTemp.txt:3308,005,1.0
shorten_highTemp.txt:3343,001,1.0
shorten_highTemp.txt:3378,003,1.0
shorten_highTemp.txt:3413,010,1.0
shorten_highTemp.txt:3448,001,1.0
shorten_highTemp.txt:3483,000,1.0
shorten_highTemp.txt:3518,012,1.0
shorten_highTemp.txt:3553,003,1.0
shorten_highTemp.txt:3588,003,1.0
shorten_highTemp.txt:3623,003,1.0
shorten_highTemp.txt:3658,003,1.0
shorten_highTemp.txt:3693,001,1.0
shorten_highTemp.txt:3728,000,1.0
shorten_highTemp.txt:3763,003,1.0
shorten_highTemp.txt:3798,002,1.0
shorten_highTemp.txt:3833,000,0.613196
shorten_highTemp.txt:3833,001,0.386804
shorten_highTemp.txt:3868,000,1.0
shorten_highTemp.txt:3903,000,1.0
shorten_highTemp.txt:3938,000,1.0
shorten_highTemp.txt:3973,002,1.0
shorten_highTemp.txt:4008,001,1.0
shorten_highTemp.txt:4043,000,1.0
shorten_highTemp.txt:4078,007,1.0
shorten_highTemp.txt:4113,003,1.0
shorten_highTemp.txt:4148,000,1.0
shorten_highTemp.txt:4183,001,1.0
shorten_highTemp.txt:4218,000,0.613196
shorten_highTemp.txt:4218,001,0.386804
shorten_highTemp.txt:4253,007,1.0
shorten_highTemp.txt:4288,000,1.0
shorten_highTemp.txt:4323,000,0.613196
shorten_highTemp.txt:4323,001,0.386804
shorten_highTemp.txt:4358,006,1.0
shorten_highTemp.txt:4393,003,1.0
shorten_highTemp.txt:4428,000,1.0
shorten_highTemp.txt:4463,003,1.0
shorten_highTemp.txt:4498,007,1.0
shorten_highTemp.txt:4533,001,1.0
shorten_highTemp.txt:4568,003,1.0
shorten_highTemp.txt:4603,000,1.0
shorten_highTemp.txt:4638,003,1.0
shorten_highTemp.txt:4673,002,1.0
shorten_highTemp.txt:4708,000,1.0
shorten_highTemp.txt:4743,000,0.613196
shorten_highTemp.txt:4743,001,0.386804
shorten_highTemp.txt:4778,009,1.0
shorten_highTemp.txt:4813,003,1.0
shorten_highTemp.txt:4848,001,1.0
shorten_highTemp.txt:4883,000,1.0
shorten_highTemp.txt:4918,000,1.0
shorten_highTemp.txt:4953,003,1.0
shorten_highTemp.txt:4988,001,1.0
shorten_highTemp.txt:33,002,1.0
shorten_highTemp.txt:68,001,1.0
shorten_highTemp.txt:103,000,1.0
shorten_highTemp.txt:138,000,1.0
shorten_highTemp.txt:173,002,1.0
shorten_highTemp.txt:208,000,1.0
shorten_highTemp.txt:243,001,1.0
shorten_highTemp.txt:278,001,1.0
shorten_highTemp.txt:313,001,1.0
shorten_highTemp.txt:348,000,1.0
shorten_highTemp.txt:383,003,1.0
shorten_highTemp.txt:418,001,1.0
shorten_highTemp.txt:453,000,1.0
shorten_highTemp.txt:488,000,1.0
shorten_highTemp.txt:523,002,1.0
shorten_highTemp.txt:558,003,1.0
shorten_highTemp.txt:593,002,1.0
shorten_highTemp.txt:628,003,1.0
shorten_highTemp.txt:663,000,1.0
shorten_highTemp.txt:698,000,0.613196
shorten_highTemp.txt:698,001,0.386804
shorten_highTemp.txt:733,000,1.0
shorten_highTemp.txt:768,000,1.0
shorten_highTemp.txt:803,000,0.613196
shorten_highTemp.txt:803,001,0.386804
shorten_highTemp.txt:838,001,1.0
shorten_highTemp.txt:873,001,1.0
shorten_highTemp.txt:908,003,1.0
shorten_highTemp.txt:943,003,1.0
shorten_highTemp.txt:978,001,1.0
shorten_highTemp.txt:1013,001,1.0
shorten_highTemp.txt:1048,001,1.0
shorten_highTemp.txt:1083,002,1.0
shorten_highTemp.txt:1118,006,1.0
shorten_highTemp.txt:1153,003,1.0
shorten_highTemp.txt:1188,007,1.0
shorten_highTemp.txt:1223,000,1.0
shorten_highTemp.txt:1258,000,1.0
shorten_highTemp.txt:1293,001,1.0
shorten_highTemp.txt:1328,000,1.0
shorten_highTemp.txt:1363,000,1.0
shorten_highTemp.txt:1398,004,1.0
shorten_highTemp.txt:1433,000,1.0
shorten_highTemp.txt:1468,001,1.0
shorten_highTemp.txt:1503,003,1.0
shorten_highTemp.txt:1538,000,1.0
