docname,topic,proportion
shorten_answers_tokenized.txt:3003,006,1.0
shorten_answers_tokenized.txt:3038,003,1.0
shorten_answers_tokenized.txt:3073,002,1.0
shorten_answers_tokenized.txt:3108,017,1.0
shorten_answers_tokenized.txt:3143,000,0.465504
shorten_answers_tokenized.txt:3143,001,0.382341
shorten_answers_tokenized.txt:3143,002,0.152154
shorten_answers_tokenized.txt:3178,000,0.465504
shorten_answers_tokenized.txt:3178,001,0.382341
shorten_answers_tokenized.txt:3178,002,0.152154
shorten_answers_tokenized.txt:3213,007,1.0
shorten_answers_tokenized.txt:3248,017,1.0
shorten_answers_tokenized.txt:3283,018,1.0
shorten_answers_tokenized.txt:3318,017,1.0
shorten_answers_tokenized.txt:3353,001,1.0
shorten_answers_tokenized.txt:3388,000,1.0
shorten_answers_tokenized.txt:3423,003,1.0
shorten_answers_tokenized.txt:3458,001,1.0
shorten_answers_tokenized.txt:3493,024,1.0
shorten_answers_tokenized.txt:3528,005,1.0
shorten_answers_tokenized.txt:3563,004,1.0
shorten_answers_tokenized.txt:3598,003,1.0
shorten_answers_tokenized.txt:3633,004,1.0
shorten_answers_tokenized.txt:3668,007,1.0
shorten_answers_tokenized.txt:3703,012,1.0
shorten_answers_tokenized.txt:3738,002,1.0
shorten_answers_tokenized.txt:3773,005,1.0
shorten_answers_tokenized.txt:3808,012,1.0
shorten_answers_tokenized.txt:3843,015,1.0
shorten_answers_tokenized.txt:3878,001,1.0
shorten_answers_tokenized.txt:3913,000,1.0
shorten_answers_tokenized.txt:3948,002,1.0
shorten_answers_tokenized.txt:3983,000,1.0
shorten_answers_tokenized.txt:4018,002,1.0
shorten_answers_tokenized.txt:4053,006,1.0
shorten_answers_tokenized.txt:4088,005,1.0
shorten_answers_tokenized.txt:4123,002,1.0
shorten_answers_tokenized.txt:4158,000,1.0
shorten_answers_tokenized.txt:4193,000,1.0
shorten_answers_tokenized.txt:4228,003,1.0
shorten_answers_tokenized.txt:4263,003,1.0
shorten_answers_tokenized.txt:4298,017,1.0
shorten_answers_tokenized.txt:4333,000,1.0
shorten_answers_tokenized.txt:4368,002,1.0
shorten_answers_tokenized.txt:4403,007,1.0
shorten_answers_tokenized.txt:4438,020,1.0
shorten_answers_tokenized.txt:4473,001,1.0
shorten_answers_tokenized.txt:4508,000,1.0
shorten_answers_tokenized.txt:4543,001,1.0
