docname,topic,proportion
pm_highTemp.txt:4898,002,1.0
pm_highTemp.txt:4933,001,1.0
pm_highTemp.txt:4968,005,1.0
pm_highTemp.txt:5003,002,1.0
pm_highTemp.txt:5038,001,1.0
pm_highTemp.txt:23,000,1.0
pm_highTemp.txt:58,010,1.0
pm_highTemp.txt:93,002,1.0
pm_highTemp.txt:128,011,1.0
pm_highTemp.txt:163,015,1.0
pm_highTemp.txt:198,013,1.0
pm_highTemp.txt:233,000,1.0
pm_highTemp.txt:268,005,1.0
pm_highTemp.txt:303,000,1.0
pm_highTemp.txt:338,019,1.0
pm_highTemp.txt:373,004,1.0
pm_highTemp.txt:408,004,1.0
pm_highTemp.txt:443,000,1.0
pm_highTemp.txt:478,005,1.0
pm_highTemp.txt:513,000,0.513105
pm_highTemp.txt:513,001,0.486895
pm_highTemp.txt:548,005,1.0
pm_highTemp.txt:583,005,1.0
pm_highTemp.txt:618,000,1.0
pm_highTemp.txt:653,002,1.0
pm_highTemp.txt:688,000,1.0
pm_highTemp.txt:723,012,1.0
pm_highTemp.txt:758,001,1.0
pm_highTemp.txt:793,000,1.0
pm_highTemp.txt:828,001,1.0
pm_highTemp.txt:863,000,1.0
pm_highTemp.txt:898,007,1.0
pm_highTemp.txt:933,008,1.0
pm_highTemp.txt:968,008,1.0
pm_highTemp.txt:1003,004,1.0
pm_highTemp.txt:1038,000,1.0
pm_highTemp.txt:1073,007,1.0
pm_highTemp.txt:1108,013,1.0
pm_highTemp.txt:1143,014,1.0
pm_highTemp.txt:1178,001,1.0
pm_highTemp.txt:1213,006,1.0
pm_highTemp.txt:1248,010,1.0
pm_highTemp.txt:1283,019,1.0
pm_highTemp.txt:1318,001,1.0
pm_highTemp.txt:1353,000,1.0
pm_highTemp.txt:1388,008,1.0
pm_highTemp.txt:1423,001,1.0
pm_highTemp.txt:1458,003,1.0
pm_highTemp.txt:1493,001,1.0
pm_highTemp.txt:1528,017,1.0
pm_highTemp.txt:1563,002,1.0
pm_highTemp.txt:1598,011,1.0
pm_highTemp.txt:1633,000,1.0
pm_highTemp.txt:1668,007,1.0
pm_highTemp.txt:1703,003,1.0
pm_highTemp.txt:1738,013,1.0
pm_highTemp.txt:1773,000,1.0
pm_highTemp.txt:1808,013,1.0
pm_highTemp.txt:1843,002,1.0
pm_highTemp.txt:1878,000,1.0
pm_highTemp.txt:1913,006,1.0
pm_highTemp.txt:1948,003,1.0
pm_highTemp.txt:1983,005,1.0
pm_highTemp.txt:2018,001,1.0
pm_highTemp.txt:2053,011,1.0
pm_highTemp.txt:2088,001,1.0
pm_highTemp.txt:2123,008,1.0
pm_highTemp.txt:2158,013,1.0
pm_highTemp.txt:2193,003,1.0
pm_highTemp.txt:2228,000,1.0
pm_highTemp.txt:2263,005,1.0
pm_highTemp.txt:2298,001,1.0
pm_highTemp.txt:2333,002,1.0
pm_highTemp.txt:2368,002,1.0
pm_highTemp.txt:2403,006,1.0
pm_highTemp.txt:2438,000,1.0
pm_highTemp.txt:2473,008,1.0
pm_highTemp.txt:2508,013,1.0
pm_highTemp.txt:2543,010,1.0
pm_highTemp.txt:2573,002,1.0
pm_highTemp.txt:2608,001,1.0
pm_highTemp.txt:2643,000,1.0
pm_highTemp.txt:2678,000,1.0
pm_highTemp.txt:2713,000,1.0
pm_highTemp.txt:2748,000,1.0
pm_highTemp.txt:2783,004,1.0
pm_highTemp.txt:2818,013,1.0
pm_highTemp.txt:2853,001,1.0
pm_highTemp.txt:2888,003,1.0
pm_highTemp.txt:2923,001,1.0
pm_highTemp.txt:2958,007,1.0
pm_highTemp.txt:2993,000,0.513105
pm_highTemp.txt:2993,001,0.486895
pm_highTemp.txt:3028,017,1.0
pm_highTemp.txt:3063,001,1.0
pm_highTemp.txt:3098,001,1.0
pm_highTemp.txt:3133,000,1.0
pm_highTemp.txt:3168,001,1.0
pm_highTemp.txt:3203,013,1.0
pm_highTemp.txt:3238,005,1.0
pm_highTemp.txt:3273,010,1.0
pm_highTemp.txt:3308,005,1.0
pm_highTemp.txt:3343,001,1.0
pm_highTemp.txt:3378,005,1.0
pm_highTemp.txt:3413,005,1.0
pm_highTemp.txt:3448,000,1.0
pm_highTemp.txt:3483,008,1.0
pm_highTemp.txt:3518,000,0.513105
pm_highTemp.txt:3518,001,0.486895
pm_highTemp.txt:3553,001,1.0
pm_highTemp.txt:3588,013,1.0
pm_highTemp.txt:3623,000,1.0
pm_highTemp.txt:3658,013,1.0
pm_highTemp.txt:3693,004,1.0
pm_highTemp.txt:3728,006,1.0
pm_highTemp.txt:3763,000,0.513105
pm_highTemp.txt:3763,001,0.486895
pm_highTemp.txt:3798,000,1.0
pm_highTemp.txt:3833,000,1.0
pm_highTemp.txt:3868,003,1.0
pm_highTemp.txt:3903,002,1.0
pm_highTemp.txt:3938,000,1.0
pm_highTemp.txt:3973,000,1.0
pm_highTemp.txt:4008,005,1.0
pm_highTemp.txt:4043,001,1.0
pm_highTemp.txt:4078,000,1.0
pm_highTemp.txt:4113,000,0.513105
pm_highTemp.txt:4113,001,0.486895
pm_highTemp.txt:4148,000,1.0
pm_highTemp.txt:4183,000,1.0
pm_highTemp.txt:4218,004,1.0
pm_highTemp.txt:4253,002,1.0
pm_highTemp.txt:4288,005,1.0
pm_highTemp.txt:4323,001,1.0
pm_highTemp.txt:4358,007,1.0
pm_highTemp.txt:4393,001,1.0
pm_highTemp.txt:4428,005,1.0
pm_highTemp.txt:4463,012,1.0
pm_highTemp.txt:4498,009,1.0
pm_highTemp.txt:4533,000,1.0
pm_highTemp.txt:4568,000,0.513105
pm_highTemp.txt:4568,001,0.486895
pm_highTemp.txt:4603,000,1.0
pm_highTemp.txt:4638,000,1.0
pm_highTemp.txt:4673,017,1.0
pm_highTemp.txt:4708,003,1.0
pm_highTemp.txt:4743,001,1.0
pm_highTemp.txt:4778,005,1.0
pm_highTemp.txt:4813,000,1.0
pm_highTemp.txt:4848,001,1.0
pm_highTemp.txt:4883,000,1.0
pm_highTemp.txt:4918,001,1.0
pm_highTemp.txt:4953,001,1.0
pm_highTemp.txt:4988,004,1.0
pm_highTemp.txt:5023,000,1.0
